Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
North America,By Technology,Computer Vision and AI Scanning,Computer Vision and AI Scanning,Computer Vision and AI Scanning,67.6,79.8,94.5,111.8,132.3,156.5,185.2,219.5,260.5,309.2,366.9,434.7,514.7
North America,By Retail Format,Supermarkets & Hypermarkets,Supermarkets & Hypermarkets,Supermarkets & Hypermarkets,446.2,496.2,551.9,614.0,683.8,762.9,853.0,955.7,"1,071.7","1,202.1","1,348.1","1,511.0","1,692.5"
North America,By Retail Format,Convenience Stores,Convenience Stores,Convenience Stores,99.2,111.4,125.3,141.2,159.1,179.5,202.7,229.1,259.3,293.8,333.3,378.1,428.6
North America,By Retail Format,Specialty and Discount Stores,Specialty and Discount Stores,Specialty and Discount Stores,79.9,88.5,98.0,108.4,119.9,132.9,147.6,164.3,183.2,204.3,227.9,254.3,283.7
North America,By Retail Format,Department Stores,Department Stores,Department Stores,50.2,54.9,60.1,65.9,72.2,79.3,87.1,95.8,105.6,116.6,128.7,142.1,156.8
North America,By Retail Format,Warehouse Clubs,Warehouse Clubs,Warehouse Clubs,83.2,94.6,107.8,122.9,140.4,160.8,184.4,211.9,243.8,280.6,322.9,371.3,426.8
North America,By Retail Format,Pharmacies & Drugstores,Pharmacies & Drugstores,Pharmacies & Drugstores,39.8,43.7,48.1,52.9,58.2,64.1,70.6,77.9,86.1,95.2,105.3,116.3,128.4
North America,By Country,U.S.,U.S.,U.S.,686.8,765.6,853.9,953.1,"1,064.8","1,191.6","1,336.5","1,502.0","1,689.9","1,902.3","2,141.7","2,410.3","2,711.3"
North America,By Country,Canada,Canada,Canada,111.8,123.8,137.2,152.2,169.0,187.8,209.0,232.9,259.8,290.2,324.5,362.8,405.4
U.S.,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,20.5,22.2,24.1,26.2,28.5,31.1,34.0,37.3,40.9,44.8,49.0,53.4,58.2
U.S.,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,51.7,56.6,62.1,68.2,75.0,82.6,91.0,100.2,110.2,121.4,133.8,147.6,162.6
U.S.,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,5.9,6.6,7.3,8.1,9.0,9.9,11.0,12.2,13.6,15.1,16.8,18.7,20.7
